Parent,Item,BARCODE,Closing,PRICE_AED, Prices us
Alexandre J,Alexandre J TC Black Muscs Edp 100ml+6x8ml Spy Set,3701278602039,76 Pcs,220,$59.99 
Alexandre J,Alexandre J TC Black Muscs Edp 100ml Spy,3760016770287,120 Pcs,140,$38.18 
Alexandre J,Alexandre J TC Edp 6x100ml Spy Set (Luxury Box),3700753300000,4 Pcs,880,$239.98 
Alexandre J,Alexandre J TC Golden Oud Edp 100ml Spy,3760016770270,120 Pcs,155,$42.27 
Alexandre J,Alexandre J TC Golden Oud Edp 100ml Tester,3760016770331,27 Pcs,120,$32.72 
Alexandre J,Alexandre J TC Morning Muscs Edp 100ml+2x30ml+6x8ml Spy Set,3700753029682,52 Pcs,330,$89.99 
Alexandre J,Alexandre J TC Morning Muscs Edp 100ml+6x8ml Spy Set,3700753029514,23 Pcs,220,$59.99 
Alexandre J,Alexandre J TC Morning Muscs Edp 100ml Spy,3760016770324,120 Pcs,140,$38.18 
Alexandre J,Alexandre J TC Rose Alba Edp 100ml Spy,3701278600479,15 Pcs,155,$42.27 
Alexandre J,Alexandre J TC Rose Alba Edp 100ml Tester,3701278600486,26 Pcs,125,$34.09 
Alexandre J,Alexandre J TC Rose Oud Edp 100ml Spy,3760016770300,22 Pcs,155,$42.27 
Alexandre J,Alexandre J TC Rose Oud Edp 100ml Tester,3700753002432,17 Pcs,125,$34.09 
Alexandre J,Alexandre J TC Silver Ombre Edp 100ml Tester,,2 Pcs,115,$31.36 
Alexandre J,Alexandre J UC Liyoli Edp 50ml Tester,3700753000452,43 Pcs,92,$25.09 
Alexandre J,Alexandre J UC Pure Art Edp 50ml Tester,3700753000643,54 Pcs,92,$25.09 
Alexandre J,Alexandre J UC St.Honore Edp 45ml Tester,,3 Pcs,132,$36.00 
Alfred Verne,Alfred Verne Arabian Isle Edp 80ml Spy,6290012066161,22 Pcs,59,$16.09 
Alfred Verne,Alfred Verne Emerald Isle Edp 80ml Spy,6291100603152,70 Pcs,59,$16.09 
Alfred Verne,Alfred Verne Irish Isle Edp 80ml Spy,6291200603151,7 Pcs,59,$16.09 
Alfred Verne,Alfred Verne Just for You Edp 80ml Spy,6290103101191,1 Pcs,59,$16.09 
Amouage,Amouage Dia (2023) M Edp 100ml Tester,701666911524,4 Pcs,385,$104.99 
Amouage,Amouage Gold (2023) M Edp 100ml Tester,701666911937,4 Pcs,420,$114.54 
